City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,mataura,N,2020-02-17 03:41:57,-46.19,168.86,64.0,82,24,8.01
1,roald,N,2020-02-17 03:41:57,62.58,6.13,44.6,80,46,13.87
2,esperance,A,2020-02-17 03:41:57,-33.87,121.9,68.0,56,90,16.11
3,ushuaia,A,2020-02-17 03:41:58,-54.8,-68.3,44.6,87,75,14.99
4,punta arenas,C,2020-02-17 03:41:58,-53.15,-70.92,44.6,70,40,23.04
5,yellowknife,C,2020-02-17 03:41:58,62.46,-114.35,-25.01,74,5,10.29
6,mehamn,N,2020-02-17 03:41:58,71.04,27.85,30.2,92,90,4.7
7,save,B,2020-02-17 03:41:58,8.04,2.49,71.83,85,41,1.79
8,lebu,C,2020-02-17 03:41:59,-37.62,-73.65,51.3,96,6,2.42
9,severo-kurilsk,R,2020-02-17 03:41:59,50.68,156.12,22.68,86,88,8.68
